_pid,_asset_data.original_filename,_doi,title-1:title_sort_portion
cul:1vhhmgqq53,pl41_040_020v.tif,doi:10.7916/D86D79SQ,Leaf 020 - Verso
cul:4tmpg4f69j,pl41_041_021r.tif,doi:10.7916/D8XW62H6,Leaf 021 - Recto
cul:1c59zw3skg,pl41_042_021v.tif,doi:10.7916/D8B582JW,Leaf 021 - Verso
cul:fn2z34tp80,pl41_043_022r.tif,doi:10.7916/D82N6K0H,Leaf 022 - Recto
cul:vdncjsxngb,pl41_044_022v.tif,doi:10.7916/D8FX8T7G,Leaf 022 - Verso
cul:w9ghx3fgzc,pl41_045_023r.tif,doi:10.7916/D8PC4K68,Leaf 023 - Recto
cul:3ffbg79f8v,pl41_046_023v.tif,doi:10.7916/D81N9HVQ,Leaf 023 - Verso
cul:j9kd51c6x9,pl41_047_024r.tif,doi:10.7916/D8JQ2HSH,Leaf 024 - Recto
cul:stqjq2bx9x,pl41_048_024v.tif,doi:10.7916/D8T459VP,Leaf 024 - Verso
cul:0gb5mkkz28,pl41_049_025r.tif,doi:10.7916/D89611B5,Leaf 025 - Recto
cul:76hdr7ssdp,pl41_050_025v.tif,doi:10.7916/D8DZ1S5J,Leaf 025 - Verso
cul:98sf7m0f25,pl41_051_026r.tif,doi:10.7916/D85F08K0,Leaf 026 - Recto
cul:7wm37pvp0n,pl41_052_026v.tif,doi:10.7916/D8WW91G5,Leaf 026 - Verso
cul:ttdz08krc5,pl41_053_027r.tif,doi:10.7916/D8S77024,Leaf 027 - Recto
cul:d2547d7z97,pl41_054_027v.tif,doi:10.7916/D8CZ4R0Q,Leaf 027 - Verso
cul:1c59zw3skh,pl41_055_028r.tif,doi:10.7916/D8HQ5GSX,Leaf 028 - Recto
cul:n8pk0p2q3w,pl41_056_028v.tif,doi:10.7916/D886406S,Leaf 028 - Verso
cul:f7m0cfxr88,pl41_057_029r.tif,doi:10.7916/D8NG67FR,Leaf 029 - Recto
cul:2v6wwpzj6w,pl41_058_029v.tif,doi:10.7916/D84F37G2,Leaf 029 - Verso
cul:fqz612jnw9,pl41_059_030r.tif,doi:10.7916/D80P2GT7,Leaf 030 - Recto
cul:ffbg79cq8g,pl41_060_030v.tif,doi:10.7916/D8W10PN7,Leaf 030 - Verso
cul:pk0p2nggmw,pl41_061_031r.tif,doi:10.7916/D8R79Z1Q,Leaf 031 - Recto
cul:9p8cz8wc31,pl41_062_031v.tif,doi:10.7916/D8GQ8FJ6,Leaf 031 - Verso
cul:4tmpg4f69k,pl41_063_032r.tif,doi:10.7916/D83F66F1,Leaf 032 - Recto
cul:3r2280gcs4,pl41_064_032v.tif,doi:10.7916/D8ZS4D8Q,Leaf 032 - Verso
cul:w9ghx3fgzd,pl41_065_033r.tif,doi:10.7916/D8V13NM6,Leaf 033 - Recto
cul:j3tx95x7wq,pl41_066_033v.tif,doi:10.7916/D8766Z21,Leaf 033 - Verso
cul:3tx95x6c9c,pl41_067_034r.tif,doi:10.7916/D8MG96BT,Leaf 034 - Recto
cul:hqbzkh1b03,pl41_068_034v.tif,doi:10.7916/D8BZ7PS1,Leaf 034 - Verso
cul:w0vt4b8jfx,pl41_069_035r.tif,doi:10.7916/D8Q82WXX,Leaf 035 - Recto
cul:rr4xgxd3t2,pl41_070_035v.tif,doi:10.7916/D8T16MGT,Leaf 035 - Verso
cul:dz08kprss0,pl41_071_036r.tif,doi:10.7916/D82J7VM7,Leaf 036 - Recto
cul:kprr4xh01k,pl41_072_036v.tif,doi:10.7916/D8KH253N,Leaf 036 - Verso
cul:bnzs7h4626,pl41_073_037r.tif,doi:10.7916/D8669X0J,Leaf 037 - Recto
cul:18931zct4h,pl41_074_037v.tif,doi:10.7916/D8FR1DBG,Leaf 037 - Verso
cul:p2ngf1vk38,pl41_075_038r.tif,doi:10.7916/D8XS7C7P,Leaf 038 - Recto
cul:vhhmgqnmx4,pl41_076_038v.tif,doi:10.7916/D8P85VP6,Leaf 038 - Verso
cul:rv15dv4366,pl41_077_039r.tif,doi:10.7916/D8B00NM2,Leaf 039 - Recto
cul:ns1rn8pmmf,pl41_078_039v.tif,doi:10.7916/D8903MK1,Leaf 039 - Verso
cul:f4qrfj6rpc,pl41_079_040r.tif,doi:10.7916/D8WT0B2D,Leaf 040 - Recto
cul:866t1g1mfw,pl41_080_040v.tif,doi:10.7916/D8S19K8J,Leaf 040 - Verso
cul:3j9kd51dr2,pl41_081_041r.tif,doi:10.7916/D85B1K7K,Leaf 041 - Recto
cul:fxpnvx0mvn,pl41_082_041v.tif,doi:10.7916/D8JH53XD,Leaf 041 - Verso
cul:280gb5mn5h,pl41_083_042r.tif,doi:10.7916/D8DR4C7J,Leaf 042 - Recto
cul:x3ffbg7c0s,pl41_084_042v.tif,doi:10.7916/D8HH82S1,Leaf 042 - Verso
cul:v15dv41qf0,pl41_085_043r.tif,doi:10.7916/D81K0TM6,Leaf 043 - Recto
cul:5x69p8d0xp,pl41_086_043v.tif,doi:10.7916/D8N88THC,Leaf 043 - Verso
cul:h70rxwdd9z,pl41_087_044r.tif,doi:10.7916/D84B4J4N,Leaf 044 - Recto
cul:1ns1rn8r49,pl41_088_044v.tif,doi:10.7916/D8R22J38,Leaf 044 - Verso
cul:95x69p8fjg,pl41_089_045r.tif,doi:10.7916/D8CR7B52,Leaf 045 - Recto
cul:6m905qfwdp,pl41_090_045v.tif,doi:10.7916/D88358S2,Leaf 045 - Verso
cul:1jwstqjrn6,pl41_091_046r.tif,doi:10.7916/D80K3SCG,Leaf 046 - Recto
cul:73n5tb2sx6,pl41_092_046v.tif,doi:10.7916/D8M91SCJ,Leaf 046 - Verso
cul:h70rxwddb0,pl41_093_047r.tif,doi:10.7916/D8VT38T8,Leaf 047 - Recto
cul:vdncjsxngc,pl41_094_047v.tif,doi:10.7916/D8ZK70F2,Leaf 047 - Verso
